ctx-lh-L_V1_ROI	L_V1
ctx-lh-L_MST_ROI	L_MST
ctx-lh-L_V6_ROI	L_V6
ctx-lh-L_V2_ROI	L_V2
ctx-lh-L_V3_ROI	L_V3
ctx-lh-L_V4_ROI	L_V4
ctx-lh-L_V8_ROI	L_V8
ctx-lh-L_4_ROI	L_4
ctx-lh-L_3b_ROI	L_3b
ctx-lh-L_FEF_ROI	L_FEF
ctx-lh-L_PEF_ROI	L_PEF
ctx-lh-L_55b_ROI	L_55b
ctx-lh-L_V3A_ROI	L_V3A
ctx-lh-L_RSC_ROI	L_RSC
ctx-lh-L_POS2_ROI	L_POS2
ctx-lh-L_V7_ROI	L_V7
ctx-lh-L_IPS1_ROI	L_IPS1
ctx-lh-L_FFC_ROI	L_FFC
ctx-lh-L_V3B_ROI	L_V3B
ctx-lh-L_LO1_ROI	L_LO1
ctx-lh-L_LO2_ROI	L_LO2
ctx-lh-L_PIT_ROI	L_PIT
ctx-lh-L_MT_ROI	L_MT
ctx-lh-L_A1_ROI	L_A1
ctx-lh-L_PSL_ROI	L_PSL
ctx-lh-L_SFL_ROI	L_SFL
ctx-lh-L_PCV_ROI	L_PCV
ctx-lh-L_STV_ROI	L_STV
ctx-lh-L_7Pm_ROI	L_7Pm
ctx-lh-L_7m_ROI	L_7m
ctx-lh-L_POS1_ROI	L_POS1
ctx-lh-L_23d_ROI	L_23d
ctx-lh-L_v23ab_ROI	L_v23ab
ctx-lh-L_d23ab_ROI	L_d23ab
ctx-lh-L_31pv_ROI	L_31pv
ctx-lh-L_5m_ROI	L_5m
ctx-lh-L_5mv_ROI	L_5mv
ctx-lh-L_23c_ROI	L_23c
ctx-lh-L_5L_ROI	L_5L
ctx-lh-L_24dd_ROI	L_24dd
ctx-lh-L_24dv_ROI	L_24dv
ctx-lh-L_7AL_ROI	L_7AL
ctx-lh-L_SCEF_ROI	L_SCEF
ctx-lh-L_6ma_ROI	L_6ma
ctx-lh-L_7Am_ROI	L_7Am
ctx-lh-L_7PL_ROI	L_7PL
ctx-lh-L_7PC_ROI	L_7PC
ctx-lh-L_LIPv_ROI	L_LIPv
ctx-lh-L_VIP_ROI	L_VIP
ctx-lh-L_MIP_ROI	L_MIP
ctx-lh-L_1_ROI	L_1
ctx-lh-L_2_ROI	L_2
ctx-lh-L_3a_ROI	L_3a
ctx-lh-L_6d_ROI	L_6d
ctx-lh-L_6mp_ROI	L_6mp
ctx-lh-L_6v_ROI	L_6v
ctx-lh-L_p24pr_ROI	L_p24pr
ctx-lh-L_33pr_ROI	L_33pr
ctx-lh-L_a24pr_ROI	L_a24pr
ctx-lh-L_p32pr_ROI	L_p32pr
ctx-lh-L_a24_ROI	L_a24
ctx-lh-L_d32_ROI	L_d32
ctx-lh-L_8BM_ROI	L_8BM
ctx-lh-L_p32_ROI	L_p32
ctx-lh-L_10r_ROI	L_10r
ctx-lh-L_47m_ROI	L_47m
ctx-lh-L_8Av_ROI	L_8Av
ctx-lh-L_8Ad_ROI	L_8Ad
ctx-lh-L_9m_ROI	L_9m
ctx-lh-L_8BL_ROI	L_8BL
ctx-lh-L_9p_ROI	L_9p
ctx-lh-L_10d_ROI	L_10d
ctx-lh-L_8C_ROI	L_8C
ctx-lh-L_44_ROI	L_44
ctx-lh-L_45_ROI	L_45
ctx-lh-L_47l_ROI	L_47l
ctx-lh-L_a47r_ROI	L_a47r
ctx-lh-L_6r_ROI	L_6r
ctx-lh-L_IFJa_ROI	L_IFJa
ctx-lh-L_IFJp_ROI	L_IFJp
ctx-lh-L_IFSp_ROI	L_IFSp
ctx-lh-L_IFSa_ROI	L_IFSa
ctx-lh-L_p9-46v_ROI	L_p9-46v
ctx-lh-L_46_ROI	L_46
