ctx-lh-LH_region_1	Precentral_L
ctx-lh-LH_region_2	Frontal_Sup_2_L
ctx-lh-LH_region_3	Frontal_Mid_2_L
ctx-lh-LH_region_4	Frontal_Inf_Oper_L
ctx-lh-LH_region_5	Frontal_Inf_Tri_L
ctx-lh-LH_region_6	Frontal_Inf_Orb_2_L
ctx-lh-LH_region_7	Rolandic_Oper_L
ctx-lh-LH_region_8	Supp_Motor_Area_L
ctx-lh-LH_region_9	Olfactory_L
ctx-lh-LH_region_10	Frontal_Sup_Medial_L
ctx-lh-LH_region_11	Frontal_Med_Orb_L
ctx-lh-LH_region_12	Rectus_L
ctx-lh-LH_region_13	OFCant_L
ctx-lh-LH_region_14	OFCpost_L
ctx-lh-LH_region_15	OFClat_L
ctx-lh-LH_region_16	Insula_L
ctx-lh-LH_region_17	Cingulate_Ant_L
ctx-lh-LH_region_18	Cingulate_Mid_L
ctx-lh-LH_region_19	Cingulate_Post_L
ctx-lh-LH_region_20	Hippocampus_L
ctx-lh-LH_region_21	ParaHippocampal_L
ctx-lh-LH_region_22	Calcarine_L
ctx-lh-LH_region_23	Cuneus_L
ctx-lh-LH_region_24	Lingual_L
ctx-lh-LH_region_25	Occipital_Sup_L
ctx-lh-LH_region_26	Occipital_Mid_L
ctx-lh-LH_region_27	Occipital_Inf_L
ctx-lh-LH_region_28	Fusiform_L
ctx-lh-LH_region_29	Postcentral_L
ctx-lh-LH_region_30	Parietal_Sup_L
ctx-lh-LH_region_31	Parietal_Inf_L
ctx-lh-LH_region_32	SupraMarginal_L
ctx-lh-LH_region_33	Angular_L
ctx-lh-LH_region_34	Precuneus_L
ctx-lh-LH_region_35	Paracentral_Lobule_L
ctx-lh-LH_region_36	Heschl_L
ctx-lh-LH_region_37	Temporal_Sup_L
ctx-lh-LH_region_38	Temporal_Pole_Sup_L
ctx-lh-LH_region_39	Temporal_Mid_L
ctx-lh-LH_region_40	Temporal_Pole_Mid_L
ctx-lh-LH_region_41	Temporal_Inf_L
ctx-rh-RH_region_1	Precentral_R
ctx-rh-RH_region_2	Frontal_Sup_2_R
ctx-rh-RH_region_3	Frontal_Mid_2_R
ctx-rh-RH_region_4	Frontal_Inf_Oper_R
ctx-rh-RH_region_5	Frontal_Inf_Tri_R
ctx-rh-RH_region_6	Frontal_Inf_Orb_2_R
ctx-rh-RH_region_7	Rolandic_Oper_R
ctx-rh-RH_region_8	Supp_Motor_Area_R
ctx-rh-RH_region_9	Olfactory_R
ctx-rh-RH_region_10	Frontal_Sup_Medial_R
ctx-rh-RH_region_11	Frontal_Med_Orb_R
ctx-rh-RH_region_12	Rectus_R
ctx-rh-RH_region_13	OFCant_R
ctx-rh-RH_region_14	OFCpost_R
ctx-rh-RH_region_15	OFClat_R
ctx-rh-RH_region_16	Insula_R
ctx-rh-RH_region_17	Cingulate_Ant_R
ctx-rh-RH_region_18	Cingulate_Mid_R
ctx-rh-RH_region_19	Cingulate_Post_R
ctx-rh-RH_region_20	Hippocampus_R
ctx-rh-RH_region_21	ParaHippocampal_R
ctx-rh-RH_region_22	Calcarine_R
ctx-rh-RH_region_23	Cuneus_R
ctx-rh-RH_region_24	Lingual_R
ctx-rh-RH_region_25	Occipital_Sup_R
ctx-rh-RH_region_26	Occipital_Mid_R
ctx-rh-RH_region_27	Occipital_Inf_R
ctx-rh-RH_region_28	Fusiform_R
ctx-rh-RH_region_29	Postcentral_R
ctx-rh-RH_region_30	Parietal_Sup_R
ctx-rh-RH_region_31	Parietal_Inf_R
ctx-rh-RH_region_32	SupraMarginal_R
ctx-rh-RH_region_33	Angular_R
ctx-rh-RH_region_34	Precuneus_R
ctx-rh-RH_region_35	Paracentral_Lobule_R
ctx-rh-RH_region_36	Heschl_R
ctx-rh-RH_region_37	Temporal_Sup_R
ctx-rh-RH_region_38	Temporal_Pole_Sup_R
ctx-rh-RH_region_39	Temporal_Mid_R
ctx-rh-RH_region_40	Temporal_Pole_Mid_R
ctx-rh-RH_region_41	Temporal_Inf_R
